Instrument,cap_category,personal_rating,symbol_category
THERMAX,L,0,5
THOMASCOOK,M,0,0
THYROCARE,,0,0
TI,M,0,0
TIINDIA,,0,2
TIMETECHNO,M,0,1
TIMKEN,,0,1
TITAGARH,,0,2
TITAN,L,1,1
TMB,M,0,0
TMPV,,0,0
TORNTPHARM,L,1,0
TORNTPOWER,L,1,0
TRANSRAILL,,0,0
TRENT,L,1,5
TRIDENT,,0,0
TRITURBINE,M,0,0
TRIVENI,,0,0
TTML,,0,0
UBL,,0,1
UCOBANK,,0,0
ULTRACEMCO,L,1,5
UNIMECH,,0,0
UNITDSPR,L,1,0
UNIVCABLES,S,0,1
UNOMINDA,L,1,0
UPL,,0,0
UTIAMC,M,0,0
VEDL,L,1,4
VENTIVE,,0,4
VESUVIUS,S,0,2
VIJAYA,,0,5
VINATIORGA,,0,5
VMART,,0,0
VMM,,0,0
VOLTAS,,1,1
VRLLOG,M,0,0
WAAREEENER,L,0,0
WABAG,M,0,0
WCIL,S,0,0
WEBELSOLAR,M,0,0
WELCORP,L,0,0
WELSPUNLIV,M,0,0
WHEELS,,0,4
WOCKPHARMA,,0,1
YESBANK,,0,0
ZEEL,,0,0
ZENTEC,M,0,0
ZYDUSLIFE,L,1,0
ZYDUSWELL,M,0,0
